par_income_group,mean,count
0-200,8.245897932816538,108360
200-400,8.518085850664079,177238
400-600,8.767726246481605,100543
600-800,8.913839957770435,51149
800-1000,9.011354050679891,29637
>1000,9.155256809942305,70889
