par_edu_group,mean,count
Not in Education,7.785057388464678,83292
Primary School,8.391390288985335,245618
Middle School,8.8918822173236,247235
High School,9.175597103265789,57444
Associate Degree,9.16895622895623,14850
Bachelor Degree,9.060966108297624,10268
Graduate and Above,9.102459016393444,488
